,Neighborhood,Price
526,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$7,900"
527,"North Allston, Allston, Boston","$2,680"
528,"Seaport District, D Street - West Broadway, South Boston, Boston","$6,626"
529,"Downtown Medford, Medford","$2,213"
530,"Downtown Melrose, Melrose","$1,945"
531,"Mission Hill, Boston","$1,695"
532,"Medford Street - The Neck, Charlestown, Boston","$2,950"
533,"Downtown Boston, Boston","$2,955"
534,"Downtown Boston, Boston","$2,965"
535,"Downtown Boston, Boston","$2,985"
536,"Waterfront, North End, Boston","$4,200"
537,"North Cambridge, Cambridge","$1,975"
538,"North Allston, Allston, Boston","$3,020"
539,"Chinatown - Leather District, Boston","$3,946"
540,Billerica,"$1,340"
541,"Prudential - St. Botolph, Back Bay, Boston","$7,455"
542,"D Street - West Broadway, South Boston, Boston","$3,115"
543,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$4,100"
544,"Ward Two, Somerville","$3,300"
545,"Ward Two, Somerville","$3,300"
546,"Cambridge Highlands, Cambridge","$2,415"
547,"North End, Boston","$3,790"
548,"Bay Village, Boston","$3,895"
549,"St. Elizabeth's, Brighton, Boston","$1,900"
550,"Seaport District, D Street - West Broadway, South Boston, Boston","$4,733"
551,"East Arlington, Arlington","$3,400"
552,"Bay Village, Boston","$6,500"
553,"East Arlington, Arlington","$3,400"
554,"Bay Village, Boston","$6,500"
555,Dracut,"$1,600"
556,"Chinatown - Leather District, Boston","$3,946"
557,Medfield,"$1,498"
558,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$1,795"
559,"St. Elizabeth's, Brighton, Boston","$2,700"
